Date,Block,Primary Type,Location Description,Arrest,Year
2/3/2018 0:26,046XX W MONROE ST,BATTERY,RESIDENCE,False,2018
2/3/2018 2:10,039XX S WENTWORTH AVE,BATTERY,SIDEWALK,False,2018
2/3/2018 3:26,055XX W POTOMAC AVE,ASSAULT,APARTMENT,False,2018
2/3/2018 4:50,018XX S HARDING AVE,BATTERY,VEHICLE NON-COMMERCIAL,False,2018
2/3/2018 1:00,092XX S SAGINAW AVE,OTHER OFFENSE,STREET,False,2018
2/3/2018 3:00,039XX W MONROE ST,THEFT,RESIDENCE,False,2018
2/3/2018 10:10,067XX S JEFFERY BLVD,ASSAULT,OTHER,False,2018
2/3/2018 11:52,007XX N TRUMBULL AVE,NARCOTICS,SIDEWALK,True,2018
2/3/2018 10:51,001XX N LATROBE AVE,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,True,2018
2/3/2018 11:51,052XX S ST LOUIS AVE,BATTERY,RESIDENCE,False,2018
2/3/2018 5:00,049XX W ROSCOE ST,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 11:50,003XX E 116TH ST,BATTERY,APARTMENT,False,2018
2/3/2018 10:00,108XX S PERRY AVE,BATTERY,RESIDENCE,False,2018
2/3/2018 7:00,061XX S MOZART ST,THEFT,RESIDENCE,False,2018
2/3/2018 12:35,014XX S KOSTNER AVE,CRIMINAL DAMAGE,APARTMENT,False,2018
2/3/2018 11:59,082XX S BUFFALO AVE,OTHER OFFENSE,RESIDENCE,False,2018
2/3/2018 9:56,001XX N LONG AVE,NARCOTICS,RESIDENCE,True,2018
2/3/2018 13:42,040XX S DEARBORN ST,OTHER OFFENSE,RESIDENCE,False,2018
2/3/2018 12:02,021XX E 82ND ST,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:29,078XX S CORNELL AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:05,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:05,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 13:50,111XX S VINCENNES AVE,CRIMINAL TRESPASS,GAS STATION,True,2018
2/3/2018 11:00,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 2:00,037XX N DAMEN AVE,MOTOR VEHICLE THEFT,STREET,False,2018
2/3/2018 14:50,008XX W NORTH AVE,THEFT,SMALL RETAIL STORE,False,2018
2/3/2018 1:00,014XX N WELLS ST,DECEPTIVE PRACTICE,HOTEL/MOTEL,False,2018
2/3/2018 11:00,055XX S UNIVERSITY AVE,THEFT,ATHLETIC CLUB,False,2018
2/3/2018 14:56,008XX N HOMAN AVE,INTERFERENCE WITH PUBLIC OFFICER,SIDEWALK,True,2018
2/3/2018 6:00,009XX W KINZIE ST,MOTOR VEHICLE THEFT,STREET,False,2018
2/3/2018 3:00,021XX N LOCKWOOD AVE,MOTOR VEHICLE THEFT,RESIDENCE,False,2018
2/3/2018 16:25,009XX W BELMONT AVE,MOTOR VEHICLE THEFT,STREET,True,2018
2/3/2018 9:00,009XX W DIVERSEY PKWY,THEFT,STREET,False,2018
2/3/2018 15:10,021XX W DIVISION ST,ROBBERY,ALLEY,False,2018
2/3/2018 17:01,040XX W IRVING PARK RD,THEFT,DRUG STORE,True,2018
2/3/2018 19:00,004XX S KOSTNER AVE,NARCOTICS,GAS STATION,True,2018
2/3/2018 18:40,007XX N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,True,2018
2/3/2018 19:58,008XX N DEARBORN ST,ROBBERY,STREET,False,2018
2/3/2018 15:35,078XX S JEFFERY BLVD,BATTERY,SIDEWALK,False,2018
2/3/2018 16:45,117XX S MARSHFIELD AVE,THEFT,GROCERY FOOD STORE,True,2018
2/3/2018 17:00,032XX W BELMONT AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),False,2018
2/3/2018 20:30,059XX N LINCOLN AVE,CRIMINAL DAMAGE,HOTEL/MOTEL,True,2018
2/3/2018 15:00,001XX E 18TH ST,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 22:50,014XX S CANAL ST,ASSAULT,OTHER,False,2018
2/3/2018 16:00,020XX W SCHILLER ST,DECEPTIVE PRACTICE,RESIDENCE,False,2018
2/3/2018 2:00,049XX S WOOD ST,THEFT,STREET,False,2018
2/3/2018 17:00,005XX S OAKLEY BLVD,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 13:24,023XX E 73RD ST,THEFT,RESIDENCE,False,2018
2/3/2018 12:00,024XX W CORTLAND ST,THEFT,RESIDENTIAL YARD (FRONT/BACK),False,2018
2/3/2018 18:00,049XX W NORTH AVE,THEFT,ATHLETIC CLUB,False,2018
2/3/2018 19:30,099XX S LA SALLE ST,BURGLARY,RESIDENCE,False,2018
2/3/2018 20:00,046XX W FLOURNOY ST,BURGLARY,OTHER,False,2018
2/3/2018 19:30,052XX W EDDY ST,OTHER OFFENSE,STREET,False,2018
2/3/2018 20:00,090XX S HERMITAGE AVE,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 17:30,0000X E 95TH ST,CRIMINAL DAMAGE,PARK PROPERTY,False,2018
2/3/2018 23:00,008XX W FULTON MARKET,THEFT,OTHER,False,2018
2/3/2018 21:30,060XX W BYRON ST,THEFT,STREET,False,2018
2/3/2018 19:30,060XX N BROADWAY,MOTOR VEHICLE THEFT,STREET,False,2018
2/3/2018 14:00,051XX S HONORE ST,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 14:00,083XX S ELLIS AVE,THEFT,OTHER,False,2018
2/3/2018 20:20,020XX N CLEVELAND AVE,LIQUOR LAW VIOLATION,RESTAURANT,True,2018
2/3/2018 14:17,014XX W 63RD ST,OTHER OFFENSE,OTHER,False,2018
2/3/2018 1:37,026XX N HALSTED ST,THEFT,BAR OR TAVERN,False,2018
2/3/2018 0:30,015XX N MILWAUKEE AVE,THEFT,BAR OR TAVERN,False,2018
2/2/2018 12:10,0000X S CICERO AVE,OTHER OFFENSE,SMALL RETAIL STORE,True,2018
1/8/2018 10:00,001XX W DIVISION ST,THEFT,OTHER,False,2018
1/19/2018 0:20,0000X W C9 ST,THEFT,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,False,2018
2/2/2018 15:00,002XX N LA SALLE ST,DECEPTIVE PRACTICE,OTHER,False,2018
2/3/2018 5:21,004XX S PULASKI RD,HOMICIDE,STREET,False,2018
2/3/2018 4:22,001XX E 119TH PL,HOMICIDE,STREET,False,2018
2/3/2018 12:34,077XX S YATES BLVD,HOMICIDE,PORCH,True,2018
2/3/2018 21:03,024XX W 63RD ST,HOMICIDE,APARTMENT,True,2018
1/12/2018 7:00,033XX N MARSHFIELD AVE,HOMICIDE,YMCA,True,2018
1/1/2018 0:10,028XX N NATCHEZ AVE,WEAPONS VIOLATION,ALLEY,False,2018
1/1/2018 12:00,057XX N MANTON AVE,BATTERY,RESIDENCE,False,2018
1/1/2018 4:00,061XX S WOODLAWN AVE,BATTERY,APARTMENT,False,2018
1/1/2018 2:46,039XX W CORNELIA AVE,HOMICIDE,AUTO,False,2018
1/1/2018 11:33,026XX N HAMPDEN CT,HOMICIDE,APARTMENT,False,2018
1/1/2018 18:27,047XX S PRINCETON AVE,HOMICIDE,AUTO,False,2018
1/3/2018 20:25,008XX N LAWNDALE AVE,ROBBERY,ALLEY,False,2018
1/4/2018 0:01,009XX S INDEPENDENCE BLVD,BATTERY,APARTMENT,True,2018
1/5/2018 0:40,003XX E OHIO ST,THEFT,RESTAURANT,False,2018
1/6/2018 12:54,015XX E 62ND ST,HOMICIDE,STREET,False,2018
1/6/2018 13:20,072XX S MAY ST,HOMICIDE,STREET,True,2018
1/7/2018 16:37,007XX N CHRISTIANA AVE,HOMICIDE,STREET,False,2018
1/9/2018 22:34,025XX W PETERSON AVE,CRIMINAL DAMAGE,GAS STATION,False,2018
1/6/2018 16:00,052XX N MC VICKER AVE,CRIMINAL DAMAGE,RESIDENCE-GARAGE,False,2018
1/7/2018 23:00,043XX W SHAKESPEARE AVE,CRIMINAL DAMAGE,STREET,False,2018
1/9/2018 21:45,001XX W 95TH ST,ROBBERY,SIDEWALK,False,2018
1/9/2018 23:00,028XX S DR MARTIN LUTHER KING JR DR,THEFT,APARTMENT,False,2018
1/9/2018 4:08,015XX W GARFIELD BLVD,HOMICIDE,PARKING LOT,False,2018
1/9/2018 20:36,051XX W ADAMS ST,HOMICIDE,STREET,False,2018
1/10/2018 23:18,067XX S ASHLAND AVE,BATTERY,VEHICLE NON-COMMERCIAL,False,2018
1/10/2018 3:03,133XX S CALUMET AVE,HOMICIDE,STREET,False,2018
1/10/2018 3:18,013XX N LOREL AVE,HOMICIDE,HOUSE,True,2018
1/11/2018 0:12,051XX W MADISON ST,ASSAULT,SIDEWALK,True,2018
1/11/2018 0:30,012XX N CLEVELAND AVE,THEFT,STREET,False,2018
1/9/2018 17:22,019XX N ALBANY AVE,HOMICIDE,STREET,True,2018
1/11/2018 5:51,049XX S CICERO AVE,HOMICIDE,GAS STATION,True,2018
1/11/2018 12:07,053XX W RACE AVE,HOMICIDE,STREET,False,2018
1/13/2018 11:30,038XX W 26TH ST,THEFT,OTHER,False,2018
1/13/2018 12:00,108XX S WABASH AVE,OTHER OFFENSE,APARTMENT,False,2018
1/14/2018 22:00,044XX S INDIANA AVE,CRIMINAL DAMAGE,STREET,False,2018
1/14/2018 19:49,039XX W FERDINAND ST,OTHER OFFENSE,RESIDENCE,False,2018
1/1/2018 17:00,045XX S CHAMPLAIN AVE,MOTOR VEHICLE THEFT,STREET,False,2018
1/2/2018 19:35,066XX S KENWOOD AVE,WEAPONS VIOLATION,STREET,True,2018
1/3/2018 11:30,064XX S HONORE ST,BATTERY,RESIDENCE,False,2018
1/4/2018 1:00,062XX W TOUHY AVE,BURGLARY,RESTAURANT,False,2018
1/5/2018 8:31,031XX W JACKSON BLVD,OTHER OFFENSE,STREET,True,2018
1/5/2018 12:08,073XX N SHERIDAN RD,SEX OFFENSE,HOTEL/MOTEL,True,2018
1/5/2018 9:00,087XX W BRYN MAWR AVE,OTHER OFFENSE,RESIDENCE,False,2018
1/5/2018 14:00,076XX S COLFAX AVE,CRIMINAL DAMAGE,RESIDENCE,False,2018
1/5/2018 13:40,040XX W 16TH ST,NARCOTICS,SIDEWALK,True,2018
1/5/2018 6:29,018XX S TROY ST,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/5/2018 17:50,020XX W 79TH ST,BATTERY,PARKING LOT/GARAGE(NON.RESID.),False,2018
1/5/2018 10:30,022XX N CLYBOURN AVE,ASSAULT,STREET,False,2018
1/5/2018 22:30,053XX W CHICAGO AVE,BATTERY,VEHICLE NON-COMMERCIAL,False,2018
1/6/2018 4:00,019XX N SEDGWICK ST,ROBBERY,BAR OR TAVERN,False,2018
1/5/2018 11:23,019XX W 79TH ST,ROBBERY,RESTAURANT,False,2018
1/4/2018 17:45,010XX E 53RD ST,BATTERY,RESIDENCE PORCH/HALLWAY,False,2018
1/4/2018 11:01,008XX W BELMONT AVE,THEFT,SMALL RETAIL STORE,False,2018
1/4/2018 15:25,001XX W DIVISION ST,THEFT,CTA TRAIN,False,2018
1/5/2018 1:00,053XX S HOYNE AVE,THEFT,STREET,False,2018
1/5/2018 17:36,011XX S CANAL ST,THEFT,DEPARTMENT STORE,False,2018
1/3/2018 15:00,014XX W GARFIELD BLVD,THEFT,RESIDENCE,False,2018
1/4/2018 17:39,013XX N ASHLAND AVE,THEFT,DEPARTMENT STORE,False,2018
1/3/2018 12:00,017XX S STATE ST,DECEPTIVE PRACTICE,POLICE FACILITY/VEH PARKING LOT,False,2018
1/5/2018 8:30,016XX S MILLARD AVE,ROBBERY,SIDEWALK,False,2018
1/5/2018 13:45,062XX S WESTERN AVE,BATTERY,SIDEWALK,False,2018
1/4/2018 15:40,039XX W School St,THEFT,APARTMENT,False,2018
1/5/2018 11:30,022XX S MILLARD AVE,THEFT,OTHER,False,2018
1/5/2018 1:11,067XX S ELIZABETH ST,BATTERY,RESIDENCE,False,2018
1/4/2018 15:00,107XX S MORGAN ST,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/4/2018 11:00,080XX S HOUSTON AVE,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/7/2018 17:00,014XX W 92ND ST,THEFT,APARTMENT,False,2018
1/1/2018 8:00,054XX S MELVINA AVE,OTHER OFFENSE,RESIDENCE,False,2018
1/10/2018 1:00,065XX N HOYNE AVE,CRIMINAL DAMAGE,STREET,False,2018
1/1/2018 5:30,064XX W DIVERSEY AVE,ROBBERY,SIDEWALK,False,2018
1/4/2018 20:00,009XX N MICHIGAN AVE,OTHER OFFENSE,APARTMENT,False,2018
1/3/2018 19:00,017XX W HARRISON ST,THEFT,HOSPITAL BUILDING/GROUNDS,False,2018
1/4/2018 12:00,031XX N ASHLAND AVE,DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,2018
1/9/2018 16:00,002XX W 105TH PL,BURGLARY,RESIDENCE-GARAGE,False,2018
1/2/2018 18:48,018XX W JACKSON BLVD,DECEPTIVE PRACTICE,STREET,False,2018
1/1/2018 2:00,019XX N WESTERN AVE,CRIMINAL DAMAGE,CTA TRAIN,False,2018
1/11/2018 13:58,040XX N BROADWAY,OTHER OFFENSE,OTHER,False,2018
1/3/2018 10:00,075XX S PULASKI RD,THEFT,COLLEGE/UNIVERSITY RESIDENCE HALL,False,2018
1/12/2018 18:54,016XX W PETERSON AVE,WEAPONS VIOLATION,RESIDENCE,False,2018
1/12/2018 8:00,083XX S MANISTEE AVE,OFFENSE INVOLVING CHILDREN,APARTMENT,True,2018
1/15/2018 13:53,007XX N PINE AVE,WEAPONS VIOLATION,APARTMENT,False,2018
1/11/2018 9:00,004XX S CLARK ST,BURGLARY,RESIDENCE,False,2018
1/9/2018 0:00,001XX N HAMLIN BLVD,THEFT,RESIDENTIAL YARD (FRONT/BACK),False,2018
1/15/2018 0:39,018XX N NEW ENGLAND AVE,ASSAULT,RESIDENCE,True,2018
1/1/2018 15:00,045XX N ELSTON AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),False,2018
1/2/2018 9:00,079XX S INGLESIDE AVE,BURGLARY,RESIDENCE,False,2018
1/4/2018 0:01,047XX N RAVENSWOOD AVE,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/14/2018 11:03,119XX S HARVARD AVE,HOMICIDE,STREET,False,2018
1/15/2018 5:20,021XX W 24TH ST,BATTERY,APARTMENT,False,2018
1/15/2018 1:00,063XX S RACINE AVE,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,False,2018
1/15/2018 13:22,056XX S BISHOP ST,NARCOTICS,STREET,True,2018
1/15/2018 16:50,052XX W ADDISON ST,MOTOR VEHICLE THEFT,STREET,False,2018
1/15/2018 17:26,061XX S ARCHER AVE,THEFT,SMALL RETAIL STORE,False,2018
1/15/2018 20:40,015XX S PULASKI RD,WEAPONS VIOLATION,STREET,True,2018
1/15/2018 21:00,030XX S FORT DEARBORN,CRIMINAL TRESPASS,OTHER,False,2018
1/15/2018 10:00,012XX N HOYNE AVE,DECEPTIVE PRACTICE,APARTMENT,False,2018
1/15/2018 5:30,120XX S STEWART AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),False,2018
1/15/2018 19:00,001XX N CENTRAL AVE,BATTERY,APARTMENT,False,2018
1/15/2018 20:30,033XX W BELDEN AVE,THEFT,RESIDENCE,False,2018
1/16/2018 1:35,059XX S SACRAMENTO AVE,BATTERY,STREET,False,2018
1/16/2018 11:00,008XX S STATE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),False,2018
1/16/2018 11:30,044XX S PULASKI RD,DECEPTIVE PRACTICE,STREET,False,2018
1/17/2018 3:15,028XX W 19TH ST,BATTERY,HOSPITAL BUILDING/GROUNDS,True,2018
1/5/2018 16:20,009XX N MICHIGAN AVE,THEFT,DEPARTMENT STORE,False,2018
1/17/2018 7:22,073XX S PAULINA ST,BATTERY,RESIDENCE,False,2018
1/17/2018 12:35,014XX W 95TH ST,ASSAULT,PARKING LOT/GARAGE(NON.RESID.),False,2018
1/17/2018 15:30,014XX W 89TH ST,KIDNAPPING,STREET,False,2018
1/17/2018 17:28,048XX S ELIZABETH ST,BATTERY,RESIDENCE,True,2018
1/17/2018 14:41,091XX S COMMERCIAL AVE,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),True,2018
1/17/2018 23:46,063XX S LAFLIN ST,OTHER OFFENSE,STREET,False,2018
1/17/2018 17:40,096XX S WOODLAWN AVE,MOTOR VEHICLE THEFT,STREET,False,2018
1/4/2018 15:00,0000X N FRANKLIN ST,DECEPTIVE PRACTICE,STREET,False,2018
1/4/2018 23:30,0000X E MONROE ST,DECEPTIVE PRACTICE,HOTEL/MOTEL,False,2018
1/18/2018 5:13,017XX E 74TH ST,CRIMINAL DAMAGE,RESIDENCE,False,2018
1/12/2018 22:00,100XX W OHARE ST,THEFT,AIRPORT EXTERIOR - SECURE AREA,False,2018
1/10/2018 12:00,034XX W NORTH AVE,CRIMINAL DAMAGE,STREET,False,2018
1/16/2018 14:35,112XX S HOMEWOOD AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",False,2018
1/18/2018 18:59,049XX W BELLE PLAINE AVE,BATTERY,APARTMENT,False,2018
1/18/2018 3:41,066XX S EVANS AVE,HOMICIDE,STREET,True,2018
1/1/2018 16:30,0000X W TERMINAL ST,THEFT,AIRCRAFT,False,2018
1/5/2018 20:40,053XX S HERMITAGE AVE,ASSAULT,APARTMENT,False,2018
1/5/2018 19:50,083XX S SANGAMON ST,ASSAULT,STREET,False,2018
1/5/2018 22:30,033XX S WOOD ST,BATTERY,STREET,False,2018
1/6/2018 3:30,027XX W 65TH ST,THEFT,STREET,False,2018
1/6/2018 15:50,001XX W DIVISION ST,BATTERY,SIDEWALK,False,2018
1/6/2018 21:57,115XX S PERRY AVE,WEAPONS VIOLATION,STREET,True,2018
1/7/2018 4:00,100XX S VERNON AVE,THEFT,STREET,False,2018
1/7/2018 7:20,086XX S ASHLAND AVE,THEFT,GAS STATION,False,2018
1/5/2018 18:00,018XX W 69TH ST,MOTOR VEHICLE THEFT,STREET,False,2018
1/5/2018 19:30,001XX W 112TH PL,ASSAULT,APARTMENT,False,2018
1/7/2018 11:45,023XX S AVERS AVE,THEFT,APARTMENT,False,2018
1/7/2018 17:15,118XX S MARSHFIELD AVE,CRIMINAL TRESPASS,DEPARTMENT STORE,True,2018
1/7/2018 10:30,071XX S VINCENNES AVE,BURGLARY,APARTMENT,False,2018
1/7/2018 2:30,029XX N BROADWAY,BATTERY,BAR OR TAVERN,True,2018
1/6/2018 12:15,078XX S WINCHESTER AVE,OTHER OFFENSE,OTHER,False,2018
1/7/2018 2:56,007XX N DRAKE AVE,BATTERY,RESIDENCE,False,2018
1/7/2018 14:10,059XX W WASHINGTON BLVD,BATTERY,APARTMENT,False,2018
1/7/2018 0:45,002XX E HURON ST,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS,False,2018
1/7/2018 8:00,040XX N KEDZIE AVE,BURGLARY,APARTMENT,False,2018
1/5/2018 16:30,013XX W 61ST ST,BURGLARY,RESIDENCE-GARAGE,False,2018
1/7/2018 13:54,009XX N MICHIGAN AVE,THEFT,SMALL RETAIL STORE,False,2018
1/7/2018 9:00,005XX N MC CLURG CT,DECEPTIVE PRACTICE,RESIDENCE,False,2018
1/6/2018 21:30,071XX S BENNETT AVE,THEFT,APARTMENT,False,2018
1/7/2018 11:16,003XX W 115TH ST,OTHER OFFENSE,OTHER,False,2018
1/7/2018 4:00,021XX N CLYBOURN AVE,DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),False,2018
1/5/2018 20:00,015XX W IRVING PARK RD,CRIMINAL DAMAGE,RESIDENCE,False,2018
1/7/2018 5:00,009XX W 35TH PL,BATTERY,RESIDENCE,False,2018
1/6/2018 11:00,064XX S CAMPBELL AVE,OTHER OFFENSE,APARTMENT,False,2018
1/7/2018 12:00,079XX S RHODES AVE,BATTERY,APARTMENT,False,2018
1/7/2018 2:00,007XX E 84TH ST,MOTOR VEHICLE THEFT,STREET,False,2018
1/7/2018 1:00,011XX W OAKDALE AVE,DECEPTIVE PRACTICE,STREET,False,2018
1/5/2018 17:00,057XX S STATE ST,DECEPTIVE PRACTICE,OTHER,False,2018
1/5/2018 19:40,012XX W 21st St,THEFT,STREET,False,2018
1/7/2018 3:00,033XX N HALSTED ST,THEFT,BAR OR TAVERN,False,2018
1/7/2018 1:17,004XX W 62ND ST,ASSAULT,APARTMENT,False,2018
1/5/2018 17:00,021XX W CONCORD PL,CRIMINAL DAMAGE,STREET,False,2018
1/6/2018 12:45,002XX N STETSON AVE,BATTERY,ATHLETIC CLUB,False,2018
1/6/2018 23:00,056XX S ABERDEEN ST,BATTERY,APARTMENT,False,2018
1/3/2018 2:30,039XX N WESTERN AVE,BURGLARY,RESIDENCE-GARAGE,False,2018
1/6/2018 5:14,019XX W DIVISION ST,DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),False,2018
1/6/2018 23:07,022XX W DEVON AVE,GAMBLING,CONVENIENCE STORE,True,2018
1/5/2018 20:00,008XX W BELLE PLAINE AVE,THEFT,RESIDENCE,False,2018
1/15/2018 21:50,008XX W 50TH PL,BATTERY,SIDEWALK,False,2018
1/6/2018 12:00,040XX N PAULINA ST,CRIMINAL DAMAGE,RESIDENCE-GARAGE,False,2018
